#time       pt   RK_Soln      Pop1        resid         RK_Soln      Pop2        resid
     0.06944      1    0.30476E+02  0.30760E+02  0.28423E+00  0.18884E+01  0.19593E+01  0.70928E-01
     0.13889      2    0.31735E+02  0.31542E+02 -0.19320E+00  0.18726E+01  0.19204E+01  0.47779E-01
     0.20833      3    0.33016E+02  0.32345E+02 -0.67110E+00  0.18587E+01  0.18834E+01  0.24648E-01
     0.27778      4    0.34319E+02  0.33170E+02 -0.11490E+01  0.18465E+01  0.18481E+01  0.15100E-02
     0.34722      5    0.35644E+02  0.34017E+02 -0.16264E+01  0.18361E+01  0.18145E+01 -0.21661E-01
     0.41667      6    0.36991E+02  0.34888E+02 -0.21029E+01  0.18275E+01  0.17826E+01 -0.44891E-01
     0.48611      7    0.38361E+02  0.35783E+02 -0.25779E+01  0.18205E+01  0.17523E+01 -0.68210E-01
     0.55556      8    0.39753E+02  0.36702E+02 -0.30509E+01  0.18153E+01  0.17236E+01 -0.91647E-01
     0.62500      9    0.41168E+02  0.37646E+02 -0.35213E+01  0.18117E+01  0.16965E+01 -0.11523E+00
     0.69444     10    0.42605E+02  0.38616E+02 -0.39888E+01  0.18099E+01  0.16709E+01 -0.13900E+00
     0.76389     11    0.44065E+02  0.39613E+02 -0.44526E+01  0.18099E+01  0.16469E+01 -0.16298E+00
     0.83333     12    0.45548E+02  0.40636E+02 -0.49122E+01  0.18115E+01  0.16243E+01 -0.18722E+00
     0.90278     13    0.47054E+02  0.41687E+02 -0.53671E+01  0.18149E+01  0.16032E+01 -0.21175E+00
     0.97222     14    0.48583E+02  0.42767E+02 -0.58166E+01  0.18201E+01  0.15835E+01 -0.23660E+00
     1.04167     15    0.50135E+02  0.43875E+02 -0.62602E+01  0.18271E+01  0.15653E+01 -0.26183E+00
     1.11111     16    0.51711E+02  0.45014E+02 -0.66971E+01  0.18359E+01  0.15485E+01 -0.28747E+00
     1.18056     17    0.53309E+02  0.46183E+02 -0.71268E+01  0.18466E+01  0.15330E+01 -0.31357E+00
     1.25000     18    0.54932E+02  0.47383E+02 -0.75486E+01  0.18592E+01  0.15190E+01 -0.34017E+00
     1.31944     19    0.56577E+02  0.48615E+02 -0.79617E+01  0.18738E+01  0.15064E+01 -0.36734E+00
     1.38889     20    0.58246E+02  0.49881E+02 -0.83655E+01  0.18903E+01  0.14952E+01 -0.39511E+00
     1.45833     21    0.59939E+02  0.51180E+02 -0.87593E+01  0.19090E+01  0.14854E+01 -0.42355E+00
     1.52778     22    0.61655E+02  0.52513E+02 -0.91422E+01  0.19297E+01  0.14770E+01 -0.45272E+00
     1.59722     23    0.63395E+02  0.53882E+02 -0.95135E+01  0.19527E+01  0.14701E+01 -0.48266E+00
     1.66667     24    0.65159E+02  0.55287E+02 -0.98724E+01  0.19780E+01  0.14645E+01 -0.51346E+00
     1.73611     25    0.66947E+02  0.56729E+02 -0.10218E+02  0.20057E+01  0.14605E+01 -0.54518E+00
     1.80556     26    0.68758E+02  0.58208E+02 -0.10550E+02  0.20358E+01  0.14579E+01 -0.57788E+00
     1.87500     27    0.70593E+02  0.59727E+02 -0.10866E+02  0.20685E+01  0.14569E+01 -0.61165E+00
     1.94444     28    0.72452E+02  0.61285E+02 -0.11167E+02  0.21039E+01  0.14574E+01 -0.64656E+00
     2.01389     29    0.74335E+02  0.62884E+02 -0.11451E+02  0.21422E+01  0.14595E+01 -0.68270E+00
     2.08333     30    0.76241E+02  0.64524E+02 -0.11717E+02  0.21834E+01  0.14632E+01 -0.72015E+00
     2.15278     31    0.78171E+02  0.66207E+02 -0.11964E+02  0.22277E+01  0.14687E+01 -0.75901E+00
     2.22222     32    0.80124E+02  0.67932E+02 -0.12191E+02  0.22753E+01  0.14759E+01 -0.79938E+00
     2.29167     33    0.82100E+02  0.69703E+02 -0.12398E+02  0.23263E+01  0.14850E+01 -0.84135E+00
     2.36111     34    0.84100E+02  0.71518E+02 -0.12582E+02  0.23810E+01  0.14960E+01 -0.88503E+00
     2.43056     35    0.86123E+02  0.73379E+02 -0.12744E+02  0.24395E+01  0.15089E+01 -0.93055E+00
     2.50000     36    0.88168E+02  0.75287E+02 -0.12881E+02  0.25020E+01  0.15240E+01 -0.97801E+00
     2.56944     37    0.90236E+02  0.77243E+02 -0.12993E+02  0.25689E+01  0.15413E+01 -0.10275E+01
     2.63889     38    0.92326E+02  0.79248E+02 -0.13078E+02  0.26403E+01  0.15610E+01 -0.10793E+01
     2.70833     39    0.94438E+02  0.81302E+02 -0.13135E+02  0.27165E+01  0.15831E+01 -0.11334E+01
     2.77778     40    0.96571E+02  0.83407E+02 -0.13163E+02  0.27978E+01  0.16079E+01 -0.11900E+01
     2.84722     41    0.98725E+02  0.85564E+02 -0.13161E+02  0.28846E+01  0.16354E+01 -0.12492E+01
     2.91667     42    0.10090E+03  0.87773E+02 -0.13127E+02  0.29772E+01  0.16660E+01 -0.13112E+01
     2.98611     43    0.10309E+03  0.90034E+02 -0.13059E+02  0.30760E+01  0.16998E+01 -0.13762E+01
     3.05556     44    0.10531E+03  0.92350E+02 -0.12957E+02  0.31813E+01  0.17370E+01 -0.14443E+01
     3.12500     45    0.10754E+03  0.94719E+02 -0.12820E+02  0.32936E+01  0.17779E+01 -0.15157E+01
     3.19444     46    0.10979E+03  0.97144E+02 -0.12644E+02  0.34135E+01  0.18228E+01 -0.15906E+01
     3.26389     47    0.11205E+03  0.99624E+02 -0.12430E+02  0.35413E+01  0.18721E+01 -0.16692E+01
     3.33333     48    0.11434E+03  0.10216E+03 -0.12176E+02  0.36777E+01  0.19260E+01 -0.17517E+01
     3.40278     49    0.11663E+03  0.10475E+03 -0.11880E+02  0.38232E+01  0.19850E+01 -0.18382E+01
     3.47222     50    0.11894E+03  0.10740E+03 -0.11541E+02  0.39785E+01  0.20495E+01 -0.19290E+01
     3.54167     51    0.12127E+03  0.11011E+03 -0.11158E+02  0.41444E+01  0.21201E+01 -0.20242E+01
     3.61111     52    0.12360E+03  0.11287E+03 -0.10729E+02  0.43214E+01  0.21973E+01 -0.21241E+01
     3.68056     53    0.12594E+03  0.11569E+03 -0.10253E+02  0.45105E+01  0.22817E+01 -0.22288E+01
     3.75000     54    0.12829E+03  0.11857E+03 -0.97279E+01  0.47125E+01  0.23740E+01 -0.23385E+01
     3.81944     55    0.13065E+03  0.12150E+03 -0.91536E+01  0.49284E+01  0.24751E+01 -0.24534E+01
     3.88889     56    0.13301E+03  0.12448E+03 -0.85287E+01  0.51592E+01  0.25857E+01 -0.25735E+01
     3.95833     57    0.13537E+03  0.12752E+03 -0.78522E+01  0.54060E+01  0.27070E+01 -0.26991E+01
     4.02778     58    0.13773E+03  0.13060E+03 -0.71235E+01  0.56700E+01  0.28400E+01 -0.28301E+01
